latency	type
272.809038	RestStart
273.814139	RestEnd
276.800437	MotionStart
291.800937	MotionEnd
294.578215	RestStart
295.551312	RestEnd
298.572614	MotionStart
313.562113	MotionEnd
316.631420	RestStart
317.600517	RestEnd
320.652822	MotionStart
335.626013	MotionEnd
345.464013	RestStart
346.453013	RestEnd
349.501013	MotionStart
364.495013	MotionEnd
367.264013	RestStart
368.255013	RestEnd
371.253013	MotionStart
386.244013	MotionEnd
387.814013	RestStart
388.824013	RestEnd
391.843013	MotionStart
406.794013	MotionEnd
408.823013	RestStart
409.800013	RestEnd
412.805013	MotionStart
427.772013	MotionEnd
429.855013	RestStart
430.857013	RestEnd
433.856013	MotionStart
448.860013	MotionEnd
451.307013	RestStart
452.308013	RestEnd
455.306013	MotionStart
470.321013	MotionEnd
473.065013	RestStart
474.058013	RestEnd
477.070013	MotionStart
492.062013	MotionEnd
494.814013	RestStart
495.806013	RestEnd
498.823013	MotionStart
513.798013	MotionEnd
515.881013	RestStart
516.893013	RestEnd
519.895013	MotionStart
534.891013	MotionEnd
537.142013	RestStart
538.132013	RestEnd
541.156013	MotionStart
556.138013	MotionEnd
560.382013	RestStart
561.381013	RestEnd
564.388013	MotionStart
579.377013	MotionEnd
581.948013	RestStart
582.930013	RestEnd
585.952013	MotionStart
600.952013	MotionEnd
602.892013	RestStart
603.881013	RestEnd
606.870013	MotionStart
621.892013	MotionEnd
623.728013	RestStart
624.709013	RestEnd
627.726013	MotionStart
642.716013	MotionEnd
644.991013	RestStart
645.996013	RestEnd
649.003013	MotionStart
664.007013	MotionEnd
666.615013	RestStart
667.621013	RestEnd
670.636013	MotionStart
685.640013	MotionEnd
687.371013	RestStart
688.356013	RestEnd
691.386013	MotionStart
706.385013	MotionEnd
708.388013	RestStart
709.366013	RestEnd
712.394013	MotionStart
727.384013	MotionEnd
729.469013	RestStart
730.433013	RestEnd
733.449013	MotionStart
748.416013	MotionEnd
751.205013	RestStart
752.203013	RestEnd
755.217013	MotionStart
770.202013	MotionEnd
813.911013	RestStart
814.920013	RestEnd
817.920013	MotionStart
832.906013	MotionEnd
835.835013	RestStart
836.829013	RestEnd
839.844013	MotionStart
854.821013	MotionEnd
857.570013	RestStart
858.537013	RestEnd
861.554013	MotionStart
876.567013	MotionEnd
879.775013	RestStart
880.762013	RestEnd
883.797013	MotionStart
898.773013	MotionEnd
907.920013	RestStart
908.926013	RestEnd
911.945013	MotionStart
926.916013	MotionEnd
930.979013	RestStart
931.945013	RestEnd
934.978013	MotionStart
949.940013	MotionEnd
955.952013	RestStart
956.950013	RestEnd
959.977013	MotionStart
974.927013	MotionEnd
978.490013	RestStart
979.473013	RestEnd
982.482013	MotionStart
997.489013	MotionEnd
1013.896013	RestStart
1014.898013	RestEnd
1017.902013	MotionStart
1032.900013	MotionEnd
1035.317013	RestStart
1036.307013	RestEnd
1039.342013	MotionStart
1054.330013	MotionEnd
1059.178013	RestStart
1060.175013	RestEnd
1063.182013	MotionStart
1078.169013	MotionEnd
1080.739013	RestStart
1081.738013	RestEnd
1084.754013	MotionStart
1099.723013	MotionEnd
1102.904013	RestStart
1103.910013	RestEnd
1106.915013	MotionStart
1121.916013	MotionEnd
1124.777013	RestStart
1125.783013	RestEnd
1128.801013	MotionStart
1143.760013	MotionEnd
1147.521013	RestStart
1148.503013	RestEnd
1151.508013	MotionStart
1166.526013	MotionEnd
1169.536013	RestStart
1170.545013	RestEnd
1173.532013	MotionStart
1188.515013	MotionEnd
1191.578013	RestStart
1192.556013	RestEnd
1195.560013	MotionStart
1210.563013	MotionEnd
1215.147013	RestStart
