latency	type
387.845507	RestStart
388.846607	RestEnd
391.858908	MotionStart
406.843406	MotionEnd
409.790701	RestStart
410.800802	RestEnd
413.788101	MotionStart
428.792601	MotionEnd
431.481870	RestStart
432.474969	RestEnd
435.502272	MotionStart
450.467768	MotionEnd
453.131034	RestStart
454.111133	RestEnd
457.126434	MotionStart
472.134935	MotionEnd
474.614182	RestStart
475.583280	RestEnd
478.611582	MotionStart
493.581079	MotionEnd
495.585279	RestStart
496.579379	RestEnd
499.581679	MotionStart
514.576178	MotionEnd
521.763897	RestStart
522.737995	RestEnd
525.768298	MotionStart
540.753796	MotionEnd
543.860106	RestStart
544.868207	RestEnd
547.891509	MotionStart
562.858006	MotionEnd
565.485269	RestStart
566.477368	RestEnd
569.484669	MotionStart
584.459166	MotionEnd
586.989419	RestStart
587.979518	RestEnd
591.003820	MotionStart
605.976317	MotionEnd
607.614481	RestStart
608.625583	RestEnd
611.635883	MotionStart
626.626382	MotionEnd
628.982618	RestStart
629.983718	RestEnd
632.986018	MotionStart
648.003520	MotionEnd
651.327852	RestStart
652.316951	RestEnd
655.299249	MotionStart
670.316751	MotionEnd
672.310950	RestStart
673.328052	RestEnd
676.310350	MotionStart
691.310850	MotionEnd
693.725091	RestStart
694.720191	RestEnd
697.730492	MotionStart
712.728992	MotionEnd
715.184237	RestStart
716.176336	RestEnd
719.186637	MotionStart
734.174136	MotionEnd
737.307449	RestStart
738.293548	RestEnd
741.307849	MotionStart
756.291347	MotionEnd
758.077526	RestStart
759.084627	RestEnd
762.091927	MotionStart
777.067425	MotionEnd
778.778596	RestStart
779.788697	RestEnd
782.793998	MotionStart
797.778496	MotionEnd
799.966715	RestStart
800.958814	RestEnd
803.962114	MotionStart
818.950613	MotionEnd
821.026821	RestStart
822.023920	RestEnd
825.020220	MotionStart
840.018720	MotionEnd
844.740191	RestStart
845.753293	RestEnd
848.750593	MotionStart
863.749092	MotionEnd
866.142332	RestStart
867.150432	RestEnd
870.166734	MotionStart
885.152232	MotionEnd
922.870004	RestStart
923.848102	RestEnd
926.848401	MotionStart
941.835900	MotionEnd
943.903107	RestStart
944.882205	RestEnd
947.910508	MotionStart
962.889005	MotionEnd
965.725289	RestStart
966.720388	RestEnd
969.730689	MotionStart
984.746299	MotionEnd
987.920664	RestStart
988.934461	RestEnd
991.932861	MotionStart
1006.930861	MotionEnd
1010.120223	RestStart
1011.110025	RestEnd
1014.138419	MotionStart
1029.101426	MotionEnd
1031.541938	RestStart
1032.549736	RestEnd
1035.545137	MotionStart
1050.539137	MotionEnd
1052.640717	RestStart
1053.634518	RestEnd
1056.634918	MotionStart
1071.620920	MotionEnd
1077.143815	RestStart
1078.124619	RestEnd
1081.118020	MotionStart
1096.139016	MotionEnd
1098.845474	RestStart
1099.834277	RestEnd
1102.832677	MotionStart
1117.819679	MotionEnd
1119.894264	RestStart
1120.869069	RestEnd
1123.893464	MotionStart
1138.888464	MotionEnd
1140.715099	RestStart
1141.704901	RestEnd
1144.708300	MotionStart
1159.725296	MotionEnd
1163.019637	RestStart
1164.019437	RestEnd
1167.041832	MotionStart
1182.003839	MotionEnd
1184.253389	RestStart
1185.254189	RestEnd
1188.235593	MotionStart
1203.227594	MotionEnd
1205.183202	RestStart
1206.183002	RestEnd
1209.197400	MotionStart
1224.163406	MotionEnd
1226.154007	RestStart
1227.105817	RestEnd
1230.153207	MotionStart
1245.122213	MotionEnd
1247.032831	RestStart
1248.042629	RestEnd
1251.052027	MotionStart
1266.032030	MotionEnd
1268.055625	RestStart
1269.032430	RestEnd
1272.064824	MotionStart
1287.029897	MotionEnd
1290.881897	RestStart
1291.872897	RestEnd
1294.882897	MotionStart
1309.861897	MotionEnd
1311.996897	RestStart
1312.972897	RestEnd
1316.020897	MotionStart
1330.998897	MotionEnd
1333.608897	RestStart
1334.611897	RestEnd
1337.626897	MotionStart
1352.601897	MotionEnd
1357.410897	RestStart
1358.384897	RestEnd
1361.406897	MotionStart
1376.393897	MotionEnd
1378.270897	RestStart
1379.262897	RestEnd
1382.279897	MotionStart
1397.269897	MotionEnd
1401.738897	RestStart
1402.732897	RestEnd
1405.742897	MotionStart
1420.732897	MotionEnd
1526.946897	RestStart
1527.915897	RestEnd
1530.943897	MotionStart
1545.936897	MotionEnd
1547.991897	RestStart
1548.954897	RestEnd
1552.007897	MotionStart
1566.971897	MotionEnd
1568.822897	RestStart
1569.800897	RestEnd
1572.816897	MotionStart
1587.806509	MotionEnd
1590.232752	RestStart
1591.211850	RestEnd
1594.242153	MotionStart
1609.218651	MotionEnd
1611.351864	RestStart
1612.347963	RestEnd
1615.353264	MotionStart
1630.331762	MotionEnd
1634.054134	RestStart
